c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
Bruno,Pacheco,6.0,8/12/1991,Zagueiro,Fortaleza
Ze,Marcos,3.0,1/2/1998,Zagueiro,Juventude
Emanuel,Britez,19.0,26/3/1992,Zagueiro,Fortaleza
Edson,Carioca,17.0,4/6/1998,Meio-Campo,Juventude
Ronaldo,Souza,96.0,,Meio-Campo,Juventude
Machado,,36.0,20/1/1996,Meio-Campo,Vitoria
Tomas,Cuello,28.0,5/3/2000,Meio-Campo,Athletico-Pr
Lucas,Arcanjo,1.0,8/8/1998,Goleiro,Vitoria
Yeferson,Soteldo,7.0,30/6/1997,Meio-Campo,Gremio
Martinelli,,8.0,5/10/2001,Meio-Campo,Fluminense
Kaua,Elias,19.0,28/3/2006,Atacante,Fluminense
Jhon,Arias,21.0,21/9/1997,Meio-Campo,Fluminense
Martin,Braithwaite,22.0,,Atacante,Gremio
Fabio,Maciel,1.0,,Goleiro,Fluminense
Thiago,Santos,29.0,5/9/1989,Zagueiro,Fluminense
Felipe,Melo,30.0,26/8/1983,Zagueiro,Fluminense
Agustin,Rogel,18.0,,Zagueiro,Internacional
Thaciano,,16.0,12/5/1995,Atacante,Bahia
Maicon,Roque,4.0,14/9/1988,Zagueiro,Vasco
Igor,Coronado,77.0,,Meio-Campo,Corinthians
Clayson,,25.0,,Meio-Campo,Cuiaba
Marllon,Borges,4.0,,Zagueiro,Cuiaba
Thiago,Maia,29.0,22/3/1997,Meio-Campo,Internacional
Eduardo,Vargas,11.0,20/11/1989,Meio-Campo,Atletico-Mg
Alisson,Santana,45.0,21/9/2005,Meio-Campo,Atletico-Mg
Bastos,,15.0,,Zagueiro,Botafogo-Rj
Fabrizio,Peralta,33.0,,Meio-Campo,Cruzeiro
Rafael,Silva,8.0,26/5/1995,Atacante,Cruzeiro
Derek,,9.0,2/12/1997,Atacante,Atletico-Go
Janderson,,17.0,26/2/1999,Atacante,Atletico-Go
Luiz,Felipe,4.0,9/9/1993,Zagueiro,Atletico-Go
Leo,Naldi,5.0,18/8/2001,Meio-Campo,Vitoria
Alerrandro,Souza,9.0,,Atacante,Vitoria
Davi,Goes,88.0,,Meio-Campo,Juventude
Carlos,Alcaraz,37.0,,Meio-Campo,Flamengo
Nene,,10.0,19/7/1981,Meio-Campo,Juventude
Giorgian,Arrascaeta,14.0,1/6/1994,Meio-Campo,Flamengo
Leo,Pereira,4.0,31/1/1996,Zagueiro,Flamengo
Juan,Lucero,9.0,,Atacante,Fortaleza
Pedro,Augusto,28.0,28/4/2003,Meio-Campo,Fortaleza
Kaique,Rocha,4.0,28/2/2001,Zagueiro,Athletico-Pr
Samuel,Xavier,2.0,6/6/1990,Zagueiro,Fluminense
Jean,Carlos,20.0,15/2/1992,Meio-Campo,Juventude
Rodrigo,Ely,5.0,,Zagueiro,Gremio
Everton,Ribeiro,10.0,10/4/1989,Meio-Campo,Bahia
Luciano,Juba,46.0,29/8/1999,Zagueiro,Bahia
Allano,,2.0,,Meio-Campo,Criciuma
Raylan,,21.0,,Meio-Campo,Cuiaba
Yuri,Alberto,9.0,18/3/2001,Atacante,Corinthians
Caca,,25.0,,Zagueiro,Corinthians
Bruno,Henrique,27.0,30/12/1990,Meio-Campo,Flamengo
Caio,Maia,39.0,1/4/2005,Atacante,Atletico-Mg
Breno,Lopes,26.0,24/1/1996,Atacante,Fortaleza
Tinga,,2.0,1/8/1993,Zagueiro,Fortaleza
Welington,,6.0,19/2/2001,Zagueiro,Sao Paulo
Hulk,,7.0,25/7/1986,Atacante,Atletico-Mg
Fausto,Vera,18.0,26/3/2000,Meio-Campo,Atletico-Mg
Gilberto,Junior,9.0,,Atacante,Juventude
Lucas,Freitas,43.0,,Zagueiro,Juventude
Maxime,Dominguez,26.0,,Meio-Campo,Vasco
Josef,Dias,5.0,,Meio-Campo,Vasco
Breno,Bidon,27.0,20/2/2005,Meio-Campo,Corinthians
Clayton,Sampaio,20.0,,Zagueiro,Internacional
Ricardo,Mathias,49.0,25/7/2006,Atacante,Internacional
Caio,Alexandre,19.0,24/2/1999,Meio-Campo,Bahia
Ademir,,7.0,16/2/1995,Atacante,Bahia
Santiago,Arias,13.0,,Zagueiro,Bahia
Neuciano,Gusmao,40.0,,Zagueiro,Bahia
Andre,Silva,17.0,,Atacante,Sao Paulo
Lucas,Silva,18.0,16/2/1993,Meio-Campo,Cuiaba
Robert,Arboleda,5.0,22/10/1991,Zagueiro,Sao Paulo
Matheus,Souza,2.0,1/1/2001,Zagueiro,Cuiaba
Danilo,Silva,5.0,,Meio-Campo,Botafogo-Rj
Matheus,Martins,37.0,16/7/2003,Atacante,Botafogo-Rj
Madson,,22.0,13/1/1992,Zagueiro,Athletico-Pr
Lucas,Ferrugem,4.0,,Zagueiro,Bragantino
Agustin,Giay,4.0,,Zagueiro,Palmeiras
Ivan,Cavaleiro,9.0,,Atacante,Bragantino
Bruno,Fuchs,3.0,,Zagueiro,Atletico-Mg
Joao,Santos,18.0,,Zagueiro,Gremio
Fabio,Silva,2.0,24/12/1980,Zagueiro,Gremio
Matheus,Souza,97.0,1/1/2001,Meio-Campo,Cruzeiro
Gabriel,Fuentes,31.0,,Zagueiro,Fluminense
Manoel,Carvalho,26.0,,Zagueiro,Fluminense
Walace,,20.0,27/4/2002,Meio-Campo,Cruzeiro
Victor,Hugo,20.0,11/5/2004,Meio-Campo,Fluminense
Marcelo,Junior,12.0,,Zagueiro,Fluminense
Alejo,Cruz,6.0,,Zagueiro,Atletico-Go
Pedro,Rangel,1.0,29/6/2000,Goleiro,Atletico-Go
Mateo,Gamarra,15.0,,Zagueiro,Athletico-Pr
Gabriel,Barbosa,99.0,30/8/1996,Atacante,Flamengo
Enner,Valencia,13.0,,Atacante,Internacional
Leonardo,Pinheiro,3.0,,Zagueiro,Vasco
Emerson,Rodriguez,17.0,,Meio-Campo,Vasco
Angel,Romero,11.0,,Atacante,Corinthians
Charles,Matos,8.0,,Meio-Campo,Corinthians
Alan,Franco,28.0,,Zagueiro,Sao Paulo
Jonathan,Calleri,9.0,23/9/1993,Atacante,Sao Paulo
Pedro,Konzen,16.0,,Atacante,Corinthians
Rafinha,,13.0,7/9/1985,Zagueiro,Sao Paulo
Nahuel,Ferraresi,32.0,19/11/1998,Zagueiro,Sao Paulo
Erick,,33.0,14/11/1997,Atacante,Sao Paulo
Ronaldo,,1.0,10/4/1991,Goleiro,Atletico-Go
Diogo,Barbosa,6.0,17/8/1992,Zagueiro,Fluminense
Jhon,,6.0,9/9/2002,Meio-Campo,Bragantino
Luis,Oyama,5.0,,Meio-Campo,Juventude
Douglas,Mendes,39.0,10/4/1988,Zagueiro,Bragantino
Fabricio,,37.0,23/2/2001,Goleiro,Bragantino
Walter,Kannemann,4.0,14/3/1991,Zagueiro,Gremio
Igor,Jesus,99.0,7/3/2003,Atacante,Botafogo-Rj
Marlon,Freitas,17.0,27/3/1995,Meio-Campo,Botafogo-Rj
Fabinho,,35.0,9/4/2002,Meio-Campo,Palmeiras
Sergio,Palacios,13.0,,Zagueiro,Bragantino
Luan,Candido,36.0,2/2/2001,Zagueiro,Bragantino
Matheus,Cardoso,17.0,,Meio-Campo,Criciuma
Ronald,,6.0,18/6/1997,Meio-Campo,Criciuma
Walisson,,33.0,23/9/1997,Zagueiro,Criciuma
Gabriel,Franco,3.0,,Meio-Campo,Athletico-Pr
Tobias,Figueiredo,29.0,,Zagueiro,Criciuma
Carlinhos,,22.0,29/11/1986,Atacante,Flamengo
William,Gomes,39.0,15/3/2006,Atacante,Sao Paulo
Rodrigo,Nestor,11.0,9/8/2000,Meio-Campo,Sao Paulo
Joao,Marcelo,43.0,,Zagueiro,Cruzeiro
Weverton,Silva,21.0,,Goleiro,Palmeiras
Arthur,Sousa,27.0,12/3/2003,Atacante,Bragantino
Jose,Welison,17.0,,Meio-Campo,Fortaleza
Danilo,Neves,6.0,,Meio-Campo,Botafogo-Rj
Joel,Campbell,10.0,,Meio-Campo,Atletico-Go
Matheus,Paulo,30.0,,Meio-Campo,Vitoria
Janderson,,39.0,26/2/1999,Atacante,Vitoria
Gabriel,Carvalho,34.0,,Meio-Campo,Internacional
Michel,Araujo,15.0,28/9/1996,Meio-Campo,Sao Paulo
Dudu,,20.0,7/1/1992,Zagueiro,Criciuma
Caio,Paulista,16.0,11/5/1998,Zagueiro,Palmeiras
Guilherme,Almeida,31.0,29/1/1993,Zagueiro,Bragantino
Thiago,Borbas,18.0,,Atacante,Bragantino
Rodrigo,Garro,10.0,,Meio-Campo,Corinthians
Joao,Riedi,1.0,,Goleiro,Fortaleza
Joao,Cruz,57.0,,Meio-Campo,Athletico-Pr
Romulo,Zwarg,40.0,,Meio-Campo,Internacional
Rodrigo,Sam,34.0,24/7/1995,Zagueiro,Juventude
Damian,Bobadilla,21.0,,Meio-Campo,Sao Paulo
Thiago,Silva,3.0,,Zagueiro,Fluminense
Ayrton,Medeiros,6.0,,Zagueiro,Flamengo
Talles,Magno,43.0,,Meio-Campo,Corinthians
Felix,Torres,3.0,,Zagueiro,Corinthians
Bernard,,20.0,,Atacante,Atletico-Mg
Gustavo,Martins,53.0,11/8/2002,Zagueiro,Gremio
Emiliano,Rodriguez,19.0,,Atacante,Atletico-Go
Cassio,Ramos,1.0,,Goleiro,Cruzeiro
Fernando,Marcal,21.0,,Zagueiro,Botafogo-Rj
Kervin,Andrade,77.0,,Atacante,Fortaleza
Gustavinho,,22.0,29/10/2001,Meio-Campo,Bragantino
Patrick,Paula,85.0,8/9/1999,Meio-Campo,Criciuma
Bruno,Tabata,17.0,30/3/1997,Meio-Campo,Internacional
Japa,,77.0,,Meio-Campo,Cruzeiro
Gabriel,Mercado,25.0,18/3/1987,Zagueiro,Internacional
Anthoni,,24.0,23/1/2002,Goleiro,Internacional
Higor,Meritao,5.0,,Meio-Campo,Criciuma
Franco,Cristaldo,10.0,,Meio-Campo,Gremio
Marcelo,Hermes,22.0,1/2/1995,Meio-Campo,Criciuma
Hercules,,35.0,20/10/2000,Meio-Campo,Fortaleza
Renato,Kayzer,79.0,,Atacante,Fortaleza
Lucas,Halter,3.0,2/5/2000,Zagueiro,Botafogo-Rj
Marcos,Monteiro,22.0,,Goleiro,Bahia
Paulinho,,10.0,25/7/1988,Atacante,Atletico-Mg
Bruno,Tubarao,2.0,5/3/1995,Zagueiro,Atletico-Go
Jorginho,,18.0,5/1/1991,Meio-Campo,Atletico-Go
Dudu,Vieira,30.0,20/2/1994,Meio-Campo,Juventude
Danilo,Boza,4.0,6/5/1998,Zagueiro,Juventude
Jefferson,Savarino,10.0,,Meio-Campo,Botafogo-Rj
Bruno,Zapelli,10.0,,Meio-Campo,Athletico-Pr
Rossicley,Silva,31.0,,Meio-Campo,Vasco
Ryan,,37.0,27/8/2001,Meio-Campo,Corinthians
Andre,,7.0,16/7/2001,Meio-Campo,Fluminense
Henry,Mosquera,30.0,,Atacante,Bragantino
Helio,Castro,11.0,,Meio-Campo,Bragantino
Vitor,Santos,28.0,,Atacante,Bragantino
Juan,Tavares,63.0,,Meio-Campo,Cuiaba
Nathan,,14.0,5/9/2001,Meio-Campo,Gremio
Pablo,Baianinho,62.0,,Meio-Campo,Vitoria
Guilherme,Romao,6.0,1/10/1997,Zagueiro,Atletico-Go
Liziero,,26.0,7/2/1998,Meio-Campo,Sao Paulo
Mateus,Claus,77.0,3/8/1994,Goleiro,Juventude
Oscar,Romero,70.0,,Meio-Campo,Botafogo-Rj
Erick,Farias,7.0,,Meio-Campo,Juventude
Alexsander,,5.0,8/10/2003,Meio-Campo,Fluminense
Victor,Luis,12.0,23/6/1993,Zagueiro,Vasco
Rayan,,77.0,21/12/1989,Atacante,Vasco
